,Entry Index,Avg Entry Price,PnL,Direction,Status,tick_volume,atr
114,2022-12-29 02:10:00,1.06249,0,Short,Closed,94,0.0002207581009896647
115,2022-12-29 05:10:00,1.06247,0,Long,Closed,151,0.0002623561777096453
116,2022-12-29 07:25:00,1.06251,1,Short,Closed,88,0.000231151173559698
117,2022-12-29 08:50:00,1.0615900000000003,1,Long,Closed,140,0.0002871085036851907
118,2022-12-29 10:45:00,1.06336,0,Short,Closed,360,0.00045438442752416343
119,2022-12-30 00:10:00,1.06619,1,Long,Closed,3,0.0002397644052670684
120,2022-12-30 02:15:00,1.06642,1,Short,Closed,150,0.00022130663387369146
121,2022-12-30 04:20:00,1.06586,1,Long,Closed,102,0.00029945153064672513
122,2022-12-30 05:50:00,1.06606,1,Short,Closed,86,0.00023054528207592945
123,2022-12-30 07:05:00,1.06547,0,Long,Closed,122,0.00023201646612535948
124,2022-12-30 10:35:00,1.06636,1,Short,Closed,374,0.0004703835890513559
125,2023-01-02 00:45:00,1.06929,1,Long,Closed,93,0.0004527978445925727
126,2023-01-02 03:10:00,1.07046,1,Short,Closed,8,0.0004104939252474767
127,2023-01-02 04:55:00,1.06909,1,Long,Closed,8,0.0002895418933430063
128,2023-01-02 07:00:00,1.06986,1,Short,Closed,8,0.00025154520018957644
129,2023-01-02 07:20:00,1.06948,0,Long,Closed,13,0.0002832247621463482
130,2023-01-02 10:50:00,1.06883,1,Short,Closed,147,0.0007233338676381973
131,2023-01-10 00:20:00,1.07273,1,Long,Closed,705,0.0003071092845296541
132,2023-01-10 01:20:00,1.0733,1,Short,Closed,88,0.00033483289787475786
133,2023-01-10 02:45:00,1.07228,1,Long,Closed,165,0.0003446354252930755
134,2023-01-10 03:55:00,1.07357,1,Short,Closed,293,0.00035727731779735964
135,2023-01-10 04:55:00,1.07257,1,Long,Closed,306,0.00041804852061533157
136,2023-01-10 07:20:00,1.07364,1,Short,Closed,163,0.0002996838602370547
137,2023-01-10 08:50:00,1.07265,1,Long,Closed,259,0.0003455345062760314
138,2023-01-10 10:35:00,1.07422,1,Short,Closed,402,0.0006075864158276912
139,2023-01-11 00:15:00,1.07327,1,Long,Closed,7,0.00024461744408074844
140,2023-01-11 01:35:00,1.07367,1,Short,Closed,55,0.0001961308743903168
141,2023-01-11 03:50:00,1.07314,1,Long,Closed,212,0.00029859159099249226
142,2023-01-11 06:50:00,1.07357,0,Short,Closed,98,0.00023729223041310302
143,2023-01-11 09:10:00,1.07513,0,Long,Closed,335,0.0003730327455363316
144,2023-01-16 01:40:00,1.08281,1,Long,Closed,185,0.0003367985366440548
145,2023-01-16 02:35:00,1.08384,0,Short,Closed,231,0.00039707753497033595
146,2023-01-16 05:25:00,1.08635,0,Long,Closed,128,0.00034514798078240556
147,2023-01-19 01:35:00,1.07956,1,Short,Closed,84,0.00023737915128051876
148,2023-01-19 04:05:00,1.07846,1,Long,Closed,299,0.00037483762502205613
149,2023-01-19 05:15:00,1.07962,1,Short,Closed,192,0.0003250771748465063
150,2023-01-19 09:10:00,1.07981,1,Long,Closed,286,0.00038021194279940163
151,2023-01-19 10:25:00,1.08202,1,Short,Closed,481,0.0006475555450887624
152,2023-01-20 00:20:00,1.08322,1,Long,Closed,35,0.00029064289486808743
153,2023-01-20 01:55:00,1.08345,1,Short,Closed,48,0.0002032714207976378
154,2023-01-20 03:05:00,1.08295,1,Long,Closed,170,0.0002594451154039158
155,2023-01-20 03:40:00,1.0838,1,Short,Closed,152,0.00034205219062338277
156,2023-01-20 05:40:00,1.08347,0,Long,Closed,91,0.00027792166328676464
157,2023-01-20 08:15:00,1.08325,1,Short,Closed,137,0.0002465708515302672
158,2023-01-20 09:00:00,1.08245,1,Long,Closed,414,0.0003070917475980316
159,2023-01-20 09:35:00,1.08386,1,Short,Closed,269,0.00043013693325964374
160,2023-01-23 00:10:00,1.08644,0,Short,Closed,48,0.00028438887847573053
161,2023-01-23 06:20:00,1.08966,0,Long,Closed,101,0.00030856284832242486
162,2023-01-23 09:05:00,1.09167,1,Short,Closed,572,0.0005548910401442852
163,2023-01-24 01:20:00,1.08682,0,Short,Closed,80,0.00018627640059465202
164,2023-01-24 06:30:00,1.0873599999999999,1,Long,Closed,88,0.00021018708397014502
165,2023-01-24 07:25:00,1.08795,1,Short,Closed,105,0.00018489522493778517
166,2023-01-24 10:50:00,1.08737,0,Long,Closed,243,0.0006252265236650276
167,2023-01-25 00:05:00,1.0886,0,Short,Closed,15,0.0002162928431081541
168,2023-01-25 07:50:00,1.08941,1,Long,Closed,104,0.00021101997798104677
169,2023-01-25 08:35:00,1.09066,1,Short,Closed,177,0.0003127455634984901
170,2023-01-25 10:10:00,1.0888,0,Long,Closed,219,0.0005392488385468622
171,2023-01-26 00:20:00,1.09147,1,Long,Closed,6,0.0002609070548535093
172,2023-01-26 01:35:00,1.09225,1,Short,Closed,67,0.00023989935279687043
173,2023-01-26 03:45:00,1.09158,1,Long,Closed,207,0.0002678377957110294
174,2023-01-26 04:20:00,1.09161,1,Short,Closed,155,0.0002677918770958993
175,2023-01-26 07:25:00,1.09113,1,Long,Closed,46,0.00021215427014460104
176,2023-01-26 08:10:00,1.09192,1,Short,Closed,133,0.0002386861835188422
177,2023-01-26 09:25:00,1.09135,0,Long,Closed,328,0.0004412396907587973
178,2023-01-27 00:15:00,1.08895,1,Long,Closed,38,0.000223816887318462
179,2023-01-27 01:25:00,1.0894,1,Short,Closed,192,0.00019342005219555406
180,2023-01-27 03:35:00,1.08929,0,Long,Closed,129,0.00031745019049598774
181,2023-01-27 07:55:00,1.08712,1,Short,Closed,104,0.00019821532717796637
182,2023-01-27 09:00:00,1.08697,1,Long,Closed,260,0.00025717111869272876
183,2023-01-27 09:55:00,1.08766,1,Short,Closed,343,0.00028333949821465813
184,2023-01-27 10:30:00,1.08738,1,Long,Closed,263,0.0003795317448179682
185,2023-02-06 00:15:00,1.07847,1,Long,Closed,32,0.0003763493470527111
186,2023-02-06 01:30:00,1.07937,0,Short,Closed,399,0.0003783586277083676
187,2023-02-06 07:45:00,1.0794,0,Long,Closed,131,0.00025811673325046465
188,2023-02-07 00:30:00,1.07268,1,Long,Closed,117,0.00026478575831186916
189,2023-02-07 02:30:00,1.07315,0,Short,Closed,121,0.00022335131538503075
190,2023-02-07 06:25:00,1.07335,1,Long,Closed,153,0.0002618393231705326
191,2023-02-07 07:50:00,1.07366,1,Short,Closed,151,0.0002524754608581499
192,2023-02-07 09:25:00,1.07348,0,Long,Closed,352,0.0003649991813521592
193,2023-02-08 00:00:00,1.07227,0,Short,Closed,5,0.0003600252898796002
194,2023-02-08 09:10:00,1.07283,1,Long,Closed,240,0.00031388981179980606
195,2023-02-08 10:10:00,1.07446,0,Short,Closed,463,0.000536609532673901
196,2023-02-10 00:05:00,1.07359,0,Short,Closed,20,0.00023939470684241506
197,2023-02-10 02:50:00,1.07287,1,Long,Closed,211,0.00021309075455530074
198,2023-02-10 03:25:00,1.07371,1,Short,Closed,154,0.000252167170960912
199,2023-02-10 05:50:00,1.07199,1,Long,Closed,127,0.0002690641888670233
200,2023-02-10 08:15:00,1.07271,1,Short,Closed,213,0.00023110431516188285
201,2023-02-13 00:15:00,1.06806,1,Short,Closed,9,0.000204653538725597
202,2023-02-13 01:15:00,1.06752,0,Long,Closed,123,0.00022539070800903338
203,2023-02-13 07:05:00,1.06658,0,Short,Closed,143,0.00022665676647748735
204,2023-02-16 00:10:00,1.06866,1,Long,Closed,357,0.00017542687708377807
205,2023-02-16 02:20:00,1.06919,1,Short,Closed,194,0.00019975034520070656
206,2023-02-16 02:45:00,1.06856,1,Long,Closed,313,0.0002653403993139214
207,2023-02-16 04:05:00,1.0706,1,Short,Closed,210,0.00033972933369215294
208,2023-02-16 07:45:00,1.07059,1,Long,Closed,174,0.00022138153015744912
209,2023-02-16 09:50:00,1.0708,1,Short,Closed,249,0.00032682442353327846
210,2023-02-20 00:15:00,1.06871,0,Long,Closed,17,0.0002650088178054514
211,2023-02-20 04:45:00,1.06796,0,Short,Closed,140,0.0002505401174800438
212,2023-02-21 00:55:00,1.06843,1,Short,Closed,394,0.0001392597701156175
213,2023-02-21 02:25:00,1.06817,0,Long,Closed,72,0.00020287532661947665
214,2023-02-21 07:20:00,1.06686,1,Short,Closed,131,0.00021501807223167936
215,2023-02-21 09:40:00,1.06647,1,Long,Closed,237,0.0003036850966261874
216,2023-02-21 10:35:00,1.06692,1,Short,Closed,572,0.0005128731105272777
217,2023-02-24 00:10:00,1.05939,1,Long,Closed,13,0.0002146546157615675
218,2023-02-24 01:30:00,1.05987,1,Short,Closed,101,0.00019482772482540823
219,2023-02-24 03:50:00,1.0599,0,Long,Closed,454,0.0004047086971581002
220,2023-02-27 00:10:00,1.05467,1,Long,Closed,14,0.00022354970627493548
